edad_ingreso,promedio_academico,materias_reprobadas,distancia_hogar_ies_km,puntaje_icfes_percentil,sexo,estado_civil,zona_residencia,departamento,nivel_educativo_padre,nivel_educativo_madre,sector_ies,nivel_formacion,metodologia,area_conocimiento,semestre_cursado,estrato_socioeconomico,anio_registro,trabaja_mientras_estudia,beneficiario_icetex,beneficiario_beca
24,2.29,2,9.22,37,Hombre,Soltero,Urbana,Atlántico,Primaria,Tecnico,Publico,Universitario,Virtual,Ciencias de la educacion,8,4,2024,0,0,0
20,3.23,3,14.54,36,Hombre,Union libre,Urbana,Valle del Cauca,Bachillerato,Primaria,Privado,Universitario,Presencial,Ciencias sociales y humanas,9,1,2025,0,0,1
23,3.56,1,3.98,52,Hombre,Soltero,Urbana,Santander,Bachillerato,Bachillerato,Publico,Universitario,Presencial,Ciencias de la educacion,11,1,2023,0,1,0
18,2.77,0,0.87,39,Mujer,Soltero,Rural,Huila,Ninguno,Bachillerato,Publico,Universitario,Presencial,Matematicas y ciencias naturales,5,1,2023,1,1,0
19,3.84,0,3.91,65,Mujer,Soltero,Urbana,Nariño,Tecnico,Universitario,Publico,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",2,3,2025,1,0,0
16,3.84,0,7.58,78,Hombre,Union libre,Urbana,Chocó,Primaria,Primaria,Privado,Tecnico profesional,Distancia tradicional,Ciencias sociales y humanas,11,3,2023,0,0,0
23,3.05,2,4.54,28,Mujer,Soltero,Urbana,Valle del Cauca,Primaria,Primaria,Privado,Universitario,Virtual,Ciencias sociales y humanas,9,4,2023,0,0,0
24,2.78,1,24.71,37,Mujer,Soltero,Rural,Bogotá D.C.,Bachillerato,Primaria,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",10,2,2021,0,0,0
20,2.22,3,3.19,52,Mujer,Soltero,Urbana,Boyacá,Tecnico,Primaria,Privado,Tecnologico,Presencial,"Agronomia, veterinaria y afines",9,1,2024,0,0,0
18,2.8,1,2.11,50,Mujer,Union libre,Rural,Bogotá D.C.,Universitario,Bachillerato,Publico,Universitario,Presencial,Ciencias de la salud,5,3,2023,0,0,0
21,2.91,3,17.99,46,Mujer,Soltero,Urbana,Cauca,Bachillerato,Bachillerato,Privado,Universitario,Presencial,Ciencias sociales y humanas,6,3,2024,1,1,0
22,3.91,0,3.13,65,Hombre,Soltero,Urbana,Santander,Primaria,Bachillerato,Privado,Universitario,Presencial,Ciencias de la educacion,11,3,2021,1,1,0
